path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_runner_stdout_20260626_010856.log,0,2026-06-26T00:08:56.579941+00:00,True,,
logs\live_runner_stdout_20260626_012916.log,0,2026-06-26T00:29:16.109337+00:00,True,,
logs\loop_batch_20260625_152418.json,2599,2026-06-25T14:24:18.198403+00:00,True,,
logs\loop_batch_20260625_152418_summary.json,14272,2026-06-25T14:24:46.305770+00:00,True,,
logs\loop_iterations_06240825.jsonl,11022,2026-06-25T23:22:46.346876+00:00,True,10,0
logs\loop_iterations_0b426c4d.jsonl,11135,2026-06-25T23:02:04.030262+00:00,True,10,0
logs\loop_iterations_0e77f782.jsonl,9766,2026-06-25T14:14:36.484055+00:00,True,10,0
logs\loop_iterations_1087203b.jsonl,9399,2026-06-25T14:21:11.581558+00:00,True,10,0
logs\loop_iterations_1495bb3c.jsonl,1519,2026-06-25T11:45:13.352314+00:00,True,5,0
logs\loop_iterations_196226e1.jsonl,10719,2026-06-25T23:17:10.911786+00:00,True,10,0
logs\loop_iterations_1c9299d5.jsonl,9420,2026-06-25T14:16:10.090979+00:00,True,10,0
logs\loop_iterations_2158d7d4.jsonl,11194,2026-06-25T22:53:55.368146+00:00,True,10,0
logs\loop_iterations_245c689f.jsonl,295,2026-06-25T23:11:15.288392+00:00,True,2,0
logs\loop_iterations_27afbd94.jsonl,9480,2026-06-25T14:11:45.192499+00:00,True,10,0
logs\loop_iterations_288ab6b8.jsonl,1916,2026-06-25T12:08:09.450048+00:00,True,7,0
logs\loop_iterations_2d47fa90.jsonl,11115,2026-06-25T22:58:00.094093+00:00,True,10,0
logs\loop_iterations_30021ae2.jsonl,4878,2026-06-25T12:10:07.058845+00:00,True,10,0
logs\loop_iterations_46af7531.jsonl,5446,2026-06-25T13:26:37.766994+00:00,True,10,0
logs\loop_iterations_4caa41ff.jsonl,10978,2026-06-25T23:25:42.595936+00:00,True,10,0
logs\loop_iterations_4f00b926.jsonl,5159,2026-06-25T13:29:10.441825+00:00,True,10,0
logs\loop_iterations_54e99a84.jsonl,11307,2026-06-25T23:07:00.369955+00:00,True,10,0
logs\loop_iterations_5f1e9d24.jsonl,9927,2026-06-25T14:08:21.284585+00:00,True,10,0
